"file","area","review_state","content_status","implementation_status","verification_status","ownership","instructional_readiness","learner_validation","risk","learning_blocker","action","reason","dependency","acceptance"
"10_学习模块\M05_任务队列与调度\教材章节\07_高峰负载实验.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/继续答案隔离","M05 无损拆分章节；结构和代码块已验证，完整答案与固定结果仍需逐章隔离","","保持文档、代码、测试和状态一致"
"10_学习模块\M05_任务队列与调度\教材章节\08_Cost-aware_调度.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/继续答案隔离","M05 无损拆分章节；结构和代码块已验证，完整答案与固定结果仍需逐章隔离","","保持文档、代码、测试和状态一致"
"10_学习模块\M05_任务队列与调度\教材章节\09_分组分析_谁被牺牲了.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/继续答案隔离","M05 无损拆分章节；结构和代码块已验证，完整答案与固定结果仍需逐章隔离","","保持文档、代码、测试和状态一致"
"10_学习模块\M05_任务队列与调度\教材章节\10_Aging_最大等待保护.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/继续答案隔离","M05 无损拆分章节；结构和代码块已验证，完整答案与固定结果仍需逐章隔离","","保持文档、代码、测试和状态一致"
"10_学习模块\M05_任务队列与调度\教材章节\11_多_worker_与资源利用率.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/继续答案隔离","M05 无损拆分章节；结构和代码块已验证，完整答案与固定结果仍需逐章隔离","","保持文档、代码、测试和状态一致"
"10_学习模块\M05_任务队列与调度\教材章节\12_项目总结与复盘.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/继续答案隔离","M05 无损拆分章节；结构和代码块已验证，完整答案与固定结果仍需逐章隔离","","保持文档、代码、测试和状态一致"
"10_学习模块\M06_数据库缓存与异步任务\M06_数据库缓存与异步任务_适配教材.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/继续教程闭环","Wave 0 事实、安全和跨章契约已修复，Wave 1 入口和章级类型已完成；worked example、章内来源或教程反馈仍未全部达到 content-reviewed","","补齐对应 instructional 章的示例、来源、反馈与清理后逐章评估 content-reviewed"
"10_学习模块\M06_数据库缓存与异步任务\M06_数据库缓存与异步任务_学习地图.md","10_学习模块","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/随模块更新","模块入口、先修、产物、版本和完成边界已规范化","","保持文档、代码、测试和状态一致"
"10_学习模块\M07_Docker与容器化\M07_Docker与容器化_适配教材.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/按 09 报告修订","210 章已人工归类，其中 166 章为 instructional，且 22 份入口齐全；对应 instructional 文档闭环尚未全部达到 content-reviewed","","完成 09 报告 Wave 2-3 项并通过人工语义复核"
"10_学习模块\M07_Docker与容器化\M07_Docker与容器化_学习地图.md","10_学习模块","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/随模块更新","模块入口、先修、产物、版本和完成边界已规范化","","保持文档、代码、测试和状态一致"
"10_学习模块\M08_监控压测与可观测性\M08_监控压测与可观测性_适配教材.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/继续教程闭环","Wave 0 事实、安全和跨章契约已修复，Wave 1 入口和章级类型已完成；worked example、章内来源或教程反馈仍未全部达到 content-reviewed","","补齐对应 instructional 章的示例、来源、反馈与清理后逐章评估 content-reviewed"
"10_学习模块\M08_监控压测与可观测性\M08_监控压测与可观测性_学习地图.md","10_学习模块","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/随模块更新","模块入口、先修、产物、版本和完成边界已规范化","","保持文档、代码、测试和状态一致"
"10_学习模块\M09_Kubernetes与云原生\M09_Kubernetes与云原生_适配教材.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/继续教程闭环","首批教学闭环和局部可执行证据已复核，入口与章级类型已完成；章内来源和首次教学证据仍不均匀","","按 instructional 章补 worked example、来源、反馈和章末衔接后评估 content-reviewed"
"10_学习模块\M09_Kubernetes与云原生\M09_Kubernetes与云原生_学习地图.md","10_学习模块","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/随模块更新","模块入口、先修、产物、版本和完成边界已规范化","","保持文档、代码、测试和状态一致"
"10_学习模块\M10_AI推理系统_vLLM_Triton\M10_AI推理系统_vLLM_Triton_适配教材.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/按 09 报告修订","210 章已人工归类，其中 166 章为 instructional，且 22 份入口齐全；对应 instructional 文档闭环尚未全部达到 content-reviewed","","完成 09 报告 Wave 2-3 项并通过人工语义复核"
"10_学习模块\M10_AI推理系统_vLLM_Triton\M10_AI推理系统_vLLM_Triton_学习地图.md","10_学习模块","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/随模块更新","模块入口、先修、产物、版本和完成边界已规范化","","保持文档、代码、测试和状态一致"
"10_学习模块\M11_科研方法与实验设计\M11_科研方法与实验设计_适配教材.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/按 09 报告修订","210 章已人工归类，其中 166 章为 instructional，且 22 份入口齐全；对应 instructional 文档闭环尚未全部达到 content-reviewed","","完成 09 报告 Wave 2-3 项并通过人工语义复核"
"10_学习模块\M11_科研方法与实验设计\M11_科研方法与实验设计_学习地图.md","10_学习模块","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/随模块更新","模块入口、先修、产物、版本和完成边界已规范化","","保持文档、代码、测试和状态一致"
"10_学习模块\M12_金融投研AI场景\M12_金融投研AI场景_适配教材.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留为 design-note/补激活证据","稳定引用、检索前权限、claim-support、owner-scoped 幂等和设计边界已补；P03 金融 task 仍未注册","","具备授权语料、已注册任务和端到端结果后再增加 instructional/workbook 内容"
"10_学习模块\M12_金融投研AI场景\M12_金融投研AI场景_学习地图.md","10_学习模块","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/随模块更新","模块入口、先修、产物、版本和完成边界已规范化","","保持文档、代码、测试和状态一致"
"20_资料库\导师与实验室资料\00_索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\岗位JD\00_索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\官方文档\00_索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\技术博客\00_索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\开源项目\00_索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\课程\00_索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\论文\00_索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\F00_金融市场与资产基础_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\F01_概率统计与数学基础_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\F02_Python金融数据与时间序列_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\F03_投资组合与风险管理_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\F04_衍生品定价与随机过程导论_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\F05_固定收益与利率基础_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\F06_量化研究与回测工程_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\F07_金融机器学习与模型风险_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\F08_金融工程任务与AI_Workload接口_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\M00_工具链与计算机基础_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\M01_Python工程能力_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\M02_后端API与服务化_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\M03_RAG工程_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\M04_Agent工作流_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\M05_任务队列与调度_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\M06_数据库缓存与异步任务_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\M07_Docker与容器化_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\M08_监控压测与可观测性_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\M09_Kubernetes与云原生_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\M10_AI推理系统_vLLM_Triton_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\M11_科研方法与实验设计_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\模块资料索引\M12_金融投研AI场景_资料索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\学习资料总索引.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"20_资料库\资料库总览.md","20_资料库","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"30_知识卡片\调度策略\00_索引.md","30_知识卡片","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"30_知识卡片\概念卡片\00_索引.md","30_知识卡片","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"30_知识卡片\技术机制\00_索引.md","30_知识卡片","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"30_知识卡片\架构模式\00_索引.md","30_知识卡片","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"30_知识卡片\问题与坑\00_索引.md","30_知识卡片","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"30_知识卡片\知识卡片编写模板.md","30_知识卡片","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"30_知识卡片\知识卡片总览.md","30_知识卡片","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"30_知识卡片\指标体系\00_索引.md","30_知识卡片","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"40_实验练习\E00_工具链基础实验\E00_工具链基础实验_索引.md","40_实验练习","rule-reviewed","draft","partial","unverified","reference","not-assessed","not-evaluated","medium","否","保留/学习者复现","当前学习入口或实验题面已存在；reference 与学习者运行证据分离，尚未完成学习者验证","","保持文档、代码、测试和状态一致"
"40_实验练习\E00_工具链基础实验\E00-01 命令行创建 Python 项目.md","40_实验练习","rule-reviewed","draft","runnable-task","unverified","reference","not-assessed","not-evaluated","medium","否","保留/学习者复现","当前学习入口或实验题面已存在；reference 与学习者运行证据分离，尚未完成学习者验证","","保持文档、代码、测试和状态一致"
"40_实验练习\E00_工具链基础实验\E00-02 Git 保存学习进度.md","40_实验练习","rule-reviewed","draft","runnable-task","unverified","reference","not-assessed","not-evaluated","medium","否","保留/学习者复现","当前学习入口或实验题面已存在；reference 与学习者运行证据分离，尚未完成学习者验证","","保持文档、代码、测试和状态一致"
"40_实验练习\E00_工具链基础实验\E00-03 用 httpx 请求一个 API.md","40_实验练习","rule-reviewed","draft","runnable-task","unverified","reference","not-assessed","not-evaluated","medium","否","保留/学习者复现","当前学习入口或实验题面已存在；reference 与学习者运行证据分离，尚未完成学习者验证","","保持文档、代码、测试和状态一致"
"40_实验练习\E00_工具链基础实验\E00-04 写一个带日志的小脚本.md","40_实验练习","rule-reviewed","draft","runnable-task","unverified","reference","not-assessed","not-evaluated","medium","否","保留/学习者复现","当前学习入口或实验题面已存在；reference 与学习者运行证据分离，尚未完成学习者验证","","保持文档、代码、测试和状态一致"
"40_实验练习\E00_工具链基础实验\E00-05 为任务排序函数写 pytest.md","40_实验练习","rule-reviewed","draft","runnable-task","unverified","reference","not-assessed","not-evaluated","medium","否","保留/学习者复现","当前学习入口或实验题面已存在；reference 与学习者运行证据分离，尚未完成学习者验证","","保持文档、代码、测试和状态一致"
"40_实验练习\E00_工具链基础实验\E00-06 进程信号权限与请求路径诊断.md","40_实验练习","rule-reviewed","draft","runnable-task","unverified","reference","not-assessed","not-evaluated","medium","否","保留/学习者复现","当前学习入口或实验题面已存在；reference 与学习者运行证据分离，尚未完成学习者验证","","保持文档、代码、测试和状态一致"
"40_实验练习\E00_工具链基础实验\os_network_reference\diagnostics.py","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","进程元数据、超时回收、信号清理、权限恢复和请求路径故障分类 reference，共 11 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E00_工具链基础实验\os_network_reference\pyproject.toml","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","进程元数据、超时回收、信号清理、权限恢复和请求路径故障分类 reference，共 11 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E00_工具链基础实验\os_network_reference\README.md","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","进程元数据、超时回收、信号清理、权限恢复和请求路径故障分类 reference，共 11 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E00_工具链基础实验\os_network_reference\requirements-dev.lock","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","进程元数据、超时回收、信号清理、权限恢复和请求路径故障分类 reference，共 11 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E00_工具链基础实验\os_network_reference\service_worker.py","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","进程元数据、超时回收、信号清理、权限恢复和请求路径故障分类 reference，共 11 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E00_工具链基础实验\os_network_reference\tests\test_diagnostics.py","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","进程元数据、超时回收、信号清理、权限恢复和请求路径故障分类 reference，共 11 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E01_Python基础练习\concurrency_reference\concurrency_lab.py","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","线程池、进程池、asyncio 和取消清理 reference，共 6 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E01_Python基础练习\concurrency_reference\pyproject.toml","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","线程池、进程池、asyncio 和取消清理 reference，共 6 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E01_Python基础练习\concurrency_reference\README.md","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","线程池、进程池、asyncio 和取消清理 reference，共 6 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E01_Python基础练习\concurrency_reference\requirements-dev.lock","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","线程池、进程池、asyncio 和取消清理 reference，共 6 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E01_Python基础练习\concurrency_reference\tests\test_concurrency_lab.py","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","线程池、进程池、asyncio 和取消清理 reference，共 6 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E01_Python基础练习\E01_Python基础练习_索引.md","40_实验练习","rule-reviewed","draft","partial","unverified","reference","not-assessed","not-evaluated","medium","否","保留/学习者复现","当前学习入口或实验题面已存在；reference 与学习者运行证据分离，尚未完成学习者验证","","保持文档、代码、测试和状态一致"
"40_实验练习\E01_Python基础练习\E01-01 任务排序脚本.md","40_实验练习","rule-reviewed","draft","runnable-task","unverified","reference","not-assessed","not-evaluated","medium","否","保留/学习者复现","当前学习入口或实验题面已存在；reference 与学习者运行证据分离，尚未完成学习者验证","","保持文档、代码、测试和状态一致"
"40_实验练习\E01_Python基础练习\E01-02 Python 类实现 Task 和 Worker.md","40_实验练习","rule-reviewed","draft","runnable-task","unverified","reference","not-assessed","not-evaluated","medium","否","保留/学习者复现","当前学习入口或实验题面已存在；reference 与学习者运行证据分离，尚未完成学习者验证","","保持文档、代码、测试和状态一致"
"40_实验练习\E01_Python基础练习\E01-03 pytest 测试调度器.md","40_实验练习","rule-reviewed","draft","runnable-task","unverified","reference","not-assessed","not-evaluated","medium","否","保留/学习者复现","当前学习入口或实验题面已存在；reference 与学习者运行证据分离，尚未完成学习者验证","","保持文档、代码、测试和状态一致"
"40_实验练习\E01_Python基础练习\E01-04 并发选择与取消.md","40_实验练习","rule-reviewed","draft","runnable-task","unverified","reference","not-assessed","not-evaluated","medium","否","保留/学习者复现","当前学习入口或实验题面已存在；reference 与学习者运行证据分离，尚未完成学习者验证","","保持文档、代码、测试和状态一致"
"40_实验练习\E02_后端API实验\e02_service\app\__init__.py","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","FastAPI 生命周期、跨租户隔离、幂等并发契约和自包含 OpenAPI schema reference，共 29 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E02_后端API实验\e02_service\app\context.py","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","FastAPI 生命周期、跨租户隔离、幂等并发契约和自包含 OpenAPI schema reference，共 29 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E02_后端API实验\e02_service\app\dependencies.py","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","FastAPI 生命周期、跨租户隔离、幂等并发契约和自包含 OpenAPI schema reference，共 29 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E02_后端API实验\e02_service\app\errors.py","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","FastAPI 生命周期、跨租户隔离、幂等并发契约和自包含 OpenAPI schema reference，共 29 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E02_后端API实验\e02_service\app\main.py","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","FastAPI 生命周期、跨租户隔离、幂等并发契约和自包含 OpenAPI schema reference，共 29 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E02_后端API实验\e02_service\app\models.py","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","FastAPI 生命周期、跨租户隔离、幂等并发契约和自包含 OpenAPI schema reference，共 29 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E02_后端API实验\e02_service\app\rate_limit.py","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","FastAPI 生命周期、跨租户隔离、幂等并发契约和自包含 OpenAPI schema reference，共 29 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E02_后端API实验\e02_service\app\repository.py","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","FastAPI 生命周期、跨租户隔离、幂等并发契约和自包含 OpenAPI schema reference，共 29 项测试通过","","保持文档、代码、测试和状态一致"
"40_实验练习\E02_后端API实验\e02_service\app\security.py","40_实验练习","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","medium","否","保留","FastAPI 生命周期、跨租户隔离、幂等并发契约和自包含 OpenAPI schema reference，共 29 项测试通过","","保持文档、代码、测试和状态一致"
